Team,Composite_Score,Pass_off_rank
CIN,6.041992884836143,1.0
BAL,5.60318007080355,2.0
SEA,5.4797765715187845,3.0
HOU,5.152172894389288,4.0
MIN,5.017612897562362,5.0
SF,4.811793063914677,6.0
ATL,4.774798781728786,7.0
WAS,4.560787737117394,8.0
DAL,4.519478950811237,9.0
LAR,4.460393004568066,10.0
DET,4.095410238379213,11.0
GB,4.07502076810432,12.0
LV,3.9582058316629523,13.0
TB,3.9533978487154924,14.0
KC,3.775615619954671,15.0
IND,3.6558475931986436,16.0
PIT,3.3044991107993287,17.0
MIA,3.276818892526985,18.0
NO,3.1000106155777725,19.0
ARI,2.8556658045283125,20.0
BUF,2.8199918025182553,21.0
LAC,2.7857926791879697,22.0
JAX,2.620911471217988,23.0
NYJ,2.6091374401767893,24.0
DEN,2.5103927058032633,25.0
CLE,2.350556175263605,26.0
CHI,2.310023613821338,27.0
PHI,2.297559176741445,28.0
TEN,2.231988959021026,29.0
NYG,1.9442203616120548,30.0
CAR,1.8711107325840275,31.0
NE,1.7840265156643687,32.0
